# Expression Atlas			
# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-GEOD-48230			
# Timestamp: Fri, 22-Oct-2021 07:16:49			
geneName	Gene Name	log2FoldChange	padj
ENSG00000025770	NCAPH2	0.2	0.359708513849081
ENSG00000025772	TOMM34	-0.2	0.335220175224846
ENSG00000025796	SEC63	0.1	0.691915825551786
ENSG00000025800	KPNA6	0.1	0.782633647604308
ENSG00000026025	VIM	-0.4	0.232678457202467
ENSG00000026036	RTEL1-TNFRSF6B	0.1	0.859329966227956
ENSG00000026103	FAS	0.6	0.012148513730721
ENSG00000026297	RNASET2	0.3	0.223749916654834
ENSG00000026508	CD44	0.2	0.319028026553735
ENSG00000026559	KCNG1	0.3	0.232445653636764
ENSG00000026652	AGPAT4	0.3	0.21194990267816
ENSG00000026950	BTN3A1	0.1	0.855411649091571
ENSG00000027697	IFNGR1	-0.2	0.577945151341083
ENSG00000027847	B4GALT7	0.1	0.739991919927631
ENSG00000027869	SH2D2A	-0.4	0.105430445583475
ENSG00000028137	TNFRSF1B	0.5	0.232445653636764
ENSG00000028203	VEZT	-0.1	0.513919143419357
ENSG00000028277	POU2F2	-0.1	0.836291924028457
ENSG00000028310	BRD9	0.1	0.666609861753484
ENSG00000028528	SNX1	-0.2	0.454869452959923
ENSG00000028839	TBPL1	0.1	0.678475710147233
ENSG00000029153	ARNTL2	-0.2	0.394295858549738
ENSG00000029639	TFB1M	0.3	0.183614875774381
ENSG00000029725	RABEP1	0.1	0.793439140169766
ENSG00000029993	HMGB3	0.1	0.889642387498537
ENSG00000030066	NUP160	0.2	0.480185147513659
ENSG00000030110	BAK1	-0.3	0.230356687963045
ENSG00000030304	MUSK	0.3	0.620253248924423
ENSG00000030419	IKZF2	-0.8	0.001218820519792
ENSG00000030582	GRN	-0.3	0.107121469368503
ENSG00000031003	FAM13B	-0.6	0.022129956449506
ENSG00000031081	ARHGAP31	-0.4	0.251322172949942
ENSG00000031691	CENPQ	0.2	0.369335496298753
ENSG00000031698	SARS1	0.1	0.711001108289883
ENSG00000032219	ARID4A	-0.1	0.889792686048048
ENSG00000032444	PNPLA6	-0.1	0.765140944375411
ENSG00000032742	IFT88	-0.4	0.09328685978983
ENSG00000033011	ALG1	-0.1	0.824483719926655
ENSG00000033030	ZCCHC8	0.1	0.780437415198683
ENSG00000033100	CHPF2	-0.4	0.119654419387046
ENSG00000033122	LRRC7	-0.2	0.82387290520269
ENSG00000033170	FUT8	0.1	0.858909073396563
ENSG00000033178	UBA6	0.1	0.876918976587641
ENSG00000033327	GAB2	0.1	0.709770549638338
ENSG00000033867	SLC4A7	-0.1	0.799853174588175
ENSG00000034152	MAP2K3	0.2	0.232445653636764
ENSG00000034239	EFCAB1	-0.4	0.410227827223702
ENSG00000034510	TMSB10	-0.3	0.202235517468839
ENSG00000034677	RNF19A	-0.3	0.15833069754111
ENSG00000034693	PEX3	0.1	0.727502484278458
ENSG00000034713	GABARAPL2	-0.1	0.801742475572699
ENSG00000035115	SH3YL1	0.8	0.016207496584013
ENSG00000035141	FAM136A	0.1	0.873513680710966
ENSG00000035499	DEPDC1B	0.2	0.4657267104508
ENSG00000035664	DAPK2	-0.4	0.513260208272553
ENSG00000035681	NSMAF	0.2	0.399587524045677
ENSG00000035687	ADSS2	0.2	0.23861342781742
ENSG00000036257	CUL3	0.1	0.767868152876152
ENSG00000036530	CYP46A1	-0.3	0.606158202573305
ENSG00000036672	USP2	0.4	0.378140443359269
ENSG00000037042	TUBG2	0.2	0.496112492650085
ENSG00000037474	NSUN2	0.1	0.70668679684701
ENSG00000037637	FBXO42	-0.2	0.501019959956324
ENSG00000037749	MFAP3	-0.2	0.330949983182697
ENSG00000037757	MRI1	0.1	0.896031460809258
ENSG00000037965	HOXC8	0.6	0.043661773975909
ENSG00000038002	AGA	-0.5	0.030843589617812
ENSG00000038210	PI4K2B	0.3	0.179050126888854
ENSG00000038274	MAT2B	-0.3	0.106880076018711
