id,log2FoldChange,padj
ENSG00000043039,0.1,0.899307098
ENSG00000043514,0.2,0.505919756
ENSG00000044090,-0.1,0.838642882
ENSG00000044574,0.2,0.551206871
ENSG00000046604,0.2,0.430650492
ENSG00000046647,0.1,0.735201939
ENSG00000046651,-0.1,0.676868797
ENSG00000046653,-0.3,0.678436553
ENSG00000047056,-0.2,0.574091054
ENSG00000047188,-0.1,0.718669176
ENSG00000047249,0.1,0.841129918
ENSG00000047315,-0.2,0.243908338
ENSG00000047346,-0.3,0.366397415
ENSG00000047365,0.1,0.868426003
ENSG00000047410,-0.1,0.872098861
ENSG00000047578,-0.1,0.572070549
ENSG00000047621,-0.2,0.731384734
ENSG00000047634,0.3,0.162940095
ENSG00000047648,-0.4,0.27412808
ENSG00000047662,0.1,0.84354163
ENSG00000047849,0.1,0.75603693
ENSG00000047932,0.1,0.600048946
ENSG00000047936,0.7,0.039372815
ENSG00000048052,-0.1,0.914138471
ENSG00000048140,-0.1,0.611816869
ENSG00000048162,0.4,0.140652925
ENSG00000048342,0.1,0.781138201
ENSG00000048392,-0.1,0.839366449
ENSG00000048471,-0.4,0.180963578
ENSG00000048649,-0.2,0.553706272
ENSG00000048707,0.1,0.720628887
ENSG00000048828,0.1,0.65945426
ENSG00000049089,-0.4,0.328474477
ENSG00000049130,-0.4,0.279250777
ENSG00000049167,0.1,0.737569323
ENSG00000049192,-0.1,0.840198916
ENSG00000049245,-0.1,0.54515666
ENSG00000049246,0.1,0.77302731
ENSG00000049249,-0.1,0.89497424
ENSG00000049283,0.2,0.642775902
ENSG00000049323,-0.6,0.190578618
ENSG00000049449,0.1,0.712450114
ENSG00000049541,0.2,0.412920042
ENSG00000049759,0.5,0.012337056
ENSG00000049769,-0.5,0.046696934
ENSG00000049860,0.1,0.788190452
ENSG00000049883,0.1,0.733814767
ENSG00000050165,-0.4,0.379311969
ENSG00000050327,0.3,0.556155279
ENSG00000050344,0.4,0.021592586
ENSG00000050405,0.1,0.938066756
ENSG00000050426,0.3,0.311790016
ENSG00000050438,-0.4,0.145150982
ENSG00000050555,0.1,0.766847732
ENSG00000050748,0.3,0.021276515
ENSG00000050820,-0.3,0.2649557
ENSG00000051009,-0.1,0.79073018
ENSG00000051108,0.2,0.718363979
ENSG00000051128,-0.1,0.834925901
ENSG00000051180,0.2,0.750866982
ENSG00000051341,0.5,0.020176712
ENSG00000051382,0.1,0.792323808
ENSG00000051596,0.2,0.621395003
ENSG00000052126,0.1,0.637887134
ENSG00000052344,0.9,0.010409522
ENSG00000052749,0.2,0.379824943
ENSG00000052802,0.5,0.295406051
ENSG00000052841,-0.1,0.853651654
ENSG00000052850,-0.3,0.484274685
ENSG00000053108,-0.6,0.165511614
ENSG00000053254,-0.3,0.2812377
ENSG00000053372,0.3,0.238383081
ENSG00000053501,0.1,0.905312638
ENSG00000053524,0.1,0.848829461
ENSG00000053702,0.1,0.954160476
ENSG00000053747,0.2,0.615934926
ENSG00000053770,-0.2,0.42107758
ENSG00000054179,1.2,0.000428234
ENSG00000054267,-0.2,0.419182061
ENSG00000054356,-0.2,0.799751538
ENSG00000054392,-0.4,0.217127505
