motif_id	tf_name	tf_class	tf_family	jaspar_cluster	auc_roc	auc_prc	p_value_roc	p_value_prc	p_value_roc_adj	p_value_prc_adj
MA1733.2	ASR3	Tryptophan cluster factors	Trihelix	cluster_02	0.5085580597533442	0.5136502398988997	0.34265734265734266	0.2127872127872128	0.7066150066150066	0.6238956772764602
MA1368.3	GT-4	Tryptophan cluster factors	Trihelix	cluster_02	0.5084549244398128	0.5098826069594979	0.3146853146853147	0.25274725274725274	0.6879796421343699	0.6364315296354132
MA0978.1	DREB1E	AP2/EREBP	ERF/DREB	cluster_15	0.5084147559492789	0.505542165069277	0.32367632367632365	0.45054945054945056	0.6956761548310842	0.7707830286305623
MA2087.1	PK24205.1	Basic leucine zipper factors (bZIP)	Group A	cluster_07	0.5082920792079207	0.5041550913287124	0.2897102897102897	0.5114885114885115	0.6718813101791825	0.790011607825373
MA1788.1	NAC054	GCM domain factors	NAC	cluster_16	0.5082725377800934	0.5013100317126772	0.3276723276723277	0.4595404595404595	0.698363089424542	0.7774487153644581
MA2032.2	TRB1	Tryptophan cluster factors	MYB-related	cluster_02	0.5082638527010596	0.5187628753607822	0.32867132867132864	0.3066933066933067	0.6985410133042445	0.6882558617852735
MA1403.1	BPC5	BBR/BPC	NA	cluster_21	0.5081563748480108	0.5161811686352192	0.3196803196803197	0.15284715284715283	0.6909804076942887	0.5802108339421772
MA1251.2	RAP2-9	AP2/EREBP	ERF/DREB	cluster_15	0.5080358693764109	0.5038191437907461	0.33766233766233766	0.43656343656343655	0.7039244908097367	0.7604974933742057
MA0998.2	ERF096	AP2/EREBP	ERF/DREB	cluster_24	0.5080326124717733	0.5217240803862343	0.3106893106893107	0.34165834165834164	0.6871186784230263	0.7142063416036019
MA1259.2	ERF023	AP2/EREBP	ERF/DREB	cluster_15	0.5079978721556367	0.5038778947144844	0.3336663336663337	0.4325674325674326	0.7039244908097367	0.756993006993007
MA0949.2	ARR2	Tryptophan cluster factors	GARP_ARR-B	cluster_13	0.5079207920792079	0.5176276604461425	0.35564435564435565	0.22677322677322678	0.7085029852653874	0.6238956772764602
MA1231.3	ERF15	AP2/EREBP	ERF/DREB	cluster_24	0.5078849661281922	0.5130729437119115	0.3166833166833167	0.22977022977022976	0.6884027653258422	0.6238956772764602
MA0940.1	AP1	MADS box factors	MIKC	cluster_23	0.5077688031961098	0.49633623594994936	0.36563436563436563	0.6123876123876124	0.7153308230231307	0.8283433380778513
