cluster_id	motif_names	motif_ids
cluster_121	ZNF382,Thap11	MA1594.1,MA1573.2
cluster_122	ZNF667	MA1984.1
cluster_123	ZNF454	MA1712.1
cluster_124	ZBTB32	MA1580.1
cluster_125	MTF1	MA0863.1
cluster_126	ZNF343	MA1711.1
cluster_127	Prdm4	MA1647.2
cluster_128	ZNF707	MA1715.1
cluster_129	ZNF418	MA1980.1
cluster_130	ZNF582	MA1983.1
cluster_131	ZNF354C	MA0130.1
cluster_132	ZSCAN4	MA1155.1
cluster_133	ZSCAN31	MA1722.1
cluster_134	REST	MA0138.2
cluster_135	RREB1	MA0073.1
cluster_136	THRB	MA1574.1,MA1575.1,MA1576.1
cluster_137	ZKSCAN3	MA1973.1
